Name                                    Type     CAS         Formula         pKa
4-Cl-C6H4-SO3H                           OH    98-66-8        C6H5ClO3S        7.0
[4-MeO-C6H4][CF3]-NTPA-[H8]             NH    1071853-99-0   C35H33F3NO7PS    6.83
[Ph][C8F17]-NTPA-[H8]                   NH    1261302-68-4   C40H29F17NO5PS   6.69
[Ph][CF3]-NTPA-[H8]                      NH    1261302-62-8   C33H29F3NO5PS    6.68
C6F5-SO2-NH-SO2-C6H4-3-NO2               NH    1171188-92-3   C12H5F5N2O6S2    6.68
[Ph][C4F9]-NTPA-[H8]                     NH    1261302-67-3   C36H29F9NO5PS    6.65
C6F5-SO2-NH-SO2-C6H4-4-NO2               NH    1171188-93-4   C12H5F5N2O6S2    6.60
3-NO2-C6H4-SO3H                          OH    98-47-5        C6H5NO5S         6.4
[4-MeO-C6H4][CF3]-NTPA                   NH    1486486-92-3   C35H25F3NO7PS    6.35
[Ph][CF3]-NTPA                           NH    1010799-98-0   C33H21F3NO5PS    6.33
4-NO2-C6H4-SO3H                          OH    138-42-1       C6H5NO5S         6.3
[4-F-C6H4][CF3]-NTPA-[H8]                NH    1431711-91-9   C33H27F5NO5PS    6.22
3-NO2-C6H4-SO2-CH(CN)2                   CH    46764-49-2     C9H5N3O4S        6.16
C6F5-SO2-NH-SO2-C6H3-3-NO2-4Cl           NH    1171188-96-7   C12H4ClF5N2O6S2  6.16
4-MeO-C6H4-C(=NTf)-NH-Tf                 NH    500721-87-9    C10H8F6N2O5S2    6.05
4-NO2-C6H4-SO2-CH(CN)2                   CH    1207878-53-2   C9H5N3O4S        6.01
Tos-NH-Tf                                NH    215395-07-6    C8H8F3NO4S2      5.82
4-Me-C6H4-C(=NTf)-NH-Tf                  NH    500721-89-1    C10H8F6N2O4S2    5.82
C6H5-C(=NTf)-NH-Tf                       NH    500721-91-5    C9H6F6N2O4S2     5.68
H-TCNPD                                  CH    2306317-72-4   C9H4N4           5.64
C6H5-SO2-NH-Tf                           NH    174788-87-5    C7H6F3NO4S2      5.52
HBr                                      HHal  10035-10-6     BrH              5.4
4-F-C6H4-C(=NTf)-NH-Tf                   NH    500721-93-7    C9H5F7N2O4S2     5.29
2,4,6-(SO2F)3-Phenol                     OH    882492-01-5    C6H3F3O7S3       5.22
4-Cl-C6H4-C(=NTf)-NH-Tf                  NH    500721-95-9    C9H5ClF6N2O4S2   5.20
(C6F5-SO2)2NH                            NH    1535-93-9      C12HF10NO4S2     5.08
CH(CN)3                                  CH    454-50-2       C4HN3            5.0
4-Cl-C6H4-SO2-NH-Tf                      NH    174788-89-7    C7H5ClF3NO4S2    4.98
4-Cl-C6H4-SO2-NH-Tf                      NH    174788-89-7    C7H5ClF3NO4S2    4.98
4-Cl-C6H4-SO(=NTf)-NH-Tos                NH    174788-93-3    C14H12ClF3N2O5S3 4.78
4-NO2-C6H4-C(=NTf)-NH-Tf                 NH    500721-97-1    C9H5F6N3O6S2     4.63
2,4,6-Tf3-Phenol                         OH    71571-37-4     C9H3F9O7S3       4.44
(CN)2C=C(CN)OH                           OH    27062-39-1     C5HN3O           4.36
4-NO2-C6H4-SO2-NH-Tf                     NH    174788-91-1    C7H5F3N2O6S2     4.04
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-Cl      NH    174788-95-5    C13H9Cl2F3N2O5S3  4.00
2,4-(NO2)2-C6H3-SO3H                     OH    89-02-1        C6H4N2O7S         3.96
2,3,5-Tricyanocyclopentadiene            CH    215395-09-8    C8H3N3            3.65
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-NO2     NH    174788-97-7    C13H9ClF3N3O7S3   3.30
HI                                       HHal  10034-85-2     HI                2.8
